ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
E4PD/PERD/OHPBAT FE3tex FRK G6PDH2r/PGL GLCptspp GLUDy Htex MDH O2tex PACCOAL PDH,11,0.08291585,9.40490849,1.47055157577615,0.958875913779578
FRK G6PDH2r/PGL GLCptspp GLUDy Htex MDH O2tex PACCOAL PDH,9,0.08295224,9.40466885,1.47056356588249,0.958840396981658
E4PD/PERD/OHPBAT FRK G6PDH2r/PGL GLCptspp GLUDy Htex MDH O2tex PACCOAL PDH,10,0.08295206,9.40464858,1.4705645800962,0.958840707339363
ACACT1r FE3tex FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr,9,0.08306835,9.40383556,1.4520097116628,0.961336090891657
ACACT1r E4PD/PERD/OHPBAT FE3tex FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr,10,0.08306804,9.40381617,1.45201064367467,0.961336527700485
ACACT1r FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr,8,0.08313703,9.40334264,1.45203340585705,0.961269521894165
ACACT1r E4PD/PERD/OHPBAT FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr,9,0.08313672,9.40332323,1.45203433892807,0.961269958909459
FE3tex FRK G6PDH2r/PGL GLCptspp GLUDy Htex O2tex PACCOAL PDH,9,0.08345302,9.40107487,1.47074345978483,0.958353575268515
E4PD/PERD/OHPBAT FE3tex FRK G6PDH2r/PGL GLCptspp GLUDy Htex O2tex PACCOAL PDH,10,0.08345284,9.40105448,1.47074448078297,0.958353887012419
FRK G6PDH2r/PGL GLCptspp GLUDy Htex O2tex PACCOAL PDH,8,0.08348971,9.40081159,1.47075664346976,0.958317913814415
E4PD/PERD/OHPBAT FRK G6PDH2r/PGL GLCptspp GLUDy Htex O2tex PACCOAL PDH,9,0.08348952,9.40079119,1.47075766502585,0.95831823584025
ACALDtex/ACALDtpp ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGCD PPKr,8,0.08900129,9.395567,1.22274334268491,0.994385594007041
ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGCD PPKr,9,0.08900099,9.39554262,1.22274392066991,0.994386085073708
FE3tex FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr,8,0.08431663,9.39487696,1.45244073105988,0.960126634401854
E4PD/PERD/OHPBAT FE3tex FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr,9,0.08431631,9.39485732,1.45244167688967,0.96012708441023
FORtppi FRK G6PDH2r/PGL GLCptspp Htex O2tex PDH PPKr,8,0.08438707,9.39445765,1.45246092519242,0.960057863164522
FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr,7,0.08438739,9.39436911,1.45246518954374,0.960058104347785
FRK G6PDH2r/PGL GLCptspp Htex O2tex PDH PPKr,7,0.08438739,9.39436911,1.45246518954374,0.960058104347785
E4PD/PERD/OHPBAT FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr,8,0.08438707,9.39434945,1.45246613643907,0.960058554567805
FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr TRDR,8,0.08355166,9.39165146,1.45259611880869,0.960923231204599
E4PD/PERD/OHPBAT FRK G6PDH2r/PGL Htex O2tex PDH PGI PPKr TRDR,9,0.08355089,9.39164775,1.45259629759858,0.960924036067461
FORtppi FRK G6PDH2r/PGL GLCptspp Htex O2tex PDH POR5,8,0.09305872,9.38921548,0.816534764286463,1.08638829710039
FORtppi FRK HADPCOADH/HADPCOADH3 Htex O2tex PACCOAL PDH POR5,8,0.09515084,9.375484,1.21438262067324,0.990310534346067
FORtppi FRK H2tex/H2tpp Htex O2tex PACCOAL PDH POR5,8,0.09515084,9.375484,1.21438262067324,0.990310534346067
FORtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PACCOAL PDH POR5,8,0.09515084,9.375484,1.21438262067324,0.990310534346067
E4PD/PERD/OHPBAT FORtppi FRK H2tex/H2tpp Htex O2tex PACCOAL PDH POR5,9,0.09515017,9.37546714,1.21438300619973,0.990311327773846
FORtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH POR5,7,0.09640438,9.36725642,0.545028244567311,1.16338123892738
