Strategy,Flux,Biomass,N_of_deletions,C_limit
"['ICHORS_copy2', 'IDOND']",0.0,0.2854712083206275,2,10
"['ICHORS_copy2', 'ACACT7r']",0.0,0.285138919895806,2,10
"['ICHORS_copy2', 'GLUDy']",0.0,0.2760038126111554,2,10
"['IDOND', 'GLUDy']",0.0,0.2760038126111599,2,10
"['OHPBAT', 'ACACT7r']",-1.1547873768336103e-11,0.2851387424306391,2,10
"['LDH_D', 'GLUDy']",0.0,0.2760038126111458,2,10
"['OHPBAT', 'LDH_D']",-1.924926884555589e-11,0.2854710304422376,2,10
"['ICHORS_copy2', 'OHPBAT', 'ACACT7r', 'IDOND']",0.0,0.2851387424296887,4,10
['THZPSN'],9.159287158388985e-05,0.2854636263829853,1,10
['ACACT1r'],0.0,0.28312229041691,1,10
['5DGLCNR'],0.0,0.2854712083206315,1,10
"['G3PD2', 'PMANM']",9.00399754755199e-11,0.2853049672370933,2,10
"['G3PD2', '5DGLCNR']",-1.9403811890583708e-11,0.2853049673575965,2,10
"['5DGLCNR', 'ACACT1r']",0.0,0.2831222904169191,2,10
"['PERD', 'ACACT1r']",0.0,0.2831221154521735,2,10
"['PERD', 'GLUDy']",0.0,0.2760036463339706,2,10
"['PYDXNK', 'THZPSN', 'RPI']",0.0004878660818878,0.0958577270860577,3,10
"['AI2K', 'PMANM', 'RPI']",4.329923834589522e-05,0.0958700860442252,3,10
"['THZPSN', 'FESR']",9.159117351923788e-05,0.2854583941522356,2,10
"['MCITD', 'ICL', 'THZPSN']",4.759266012108589e-05,0.1878571585081437,3,10
"['FUM', 'ACOAD3f', 'TMDPP']",2.2981794245424678e-10,0.0431319269682707,3,10
"['FUM', 'RPE', 'NNAM']",3.034670546803286e-06,0.0293495164493094,3,10
"['FUM', 'RPE', 'SULRi']",2.733031578827649e-10,0.0293497251047833,3,10
"['VALTA', 'ENO', 'PUNP3', 'A5PISO']",2.9800206746699587e-10,0.2820918461173802,4,10
"['A5PISO', 'PYDAMK', 'ICL', 'THZPSN']",4.759265993299541e-05,0.1878571585081637,4,10
"['FUM', 'THZPSN', 'S7PI', 'RPE']",1.1665836378948849e-05,0.0293489229203021,4,10
"['ACACT4r', 'ICL', 'FESR', 'THZPSN']",4.741579952755249e-05,0.1871590575948298,4,10
"['MCITD', 'ACACT4r', 'THZPSN', 'ACGAMK']",9.110876905147388e-05,0.283954845311658,4,10
"['ICL', 'THZPSN']",4.759265998165749e-05,0.1878571585081629,2,10
"['FUM', 'RPE']",1.1683054523814462e-10,0.0293497251228159,2,10
"['ECOAH7', 'RPE']",0.0,0.2836996932947458,2,10
"['DADA', 'MALS']",-1.8685941682861085e-11,0.2592654820893091,2,10
"['TKT2', 'XYLI2']",0.0,0.283315763029598,2,10
"['FUM', 'IPDDI']",0.0,0.0436366900921233,2,10
"['ICL', 'IPDDI']",1.2372780534494754e-10,0.1878626245957832,2,10
"['ENO', 'THZPSN', 'G3PD2']",9.44354733276719e-05,0.2819217963451357,3,10
"['E4PD', 'G3PD2', 'RPE']",9.227157996005707e-10,0.283863606433261,3,10
"['FUM', 'ECOAH7', 'DMPPS', 'IPDDI']",0.1779606087500612,0.0314635308084167,4,10
"['TMDPP', 'ACACT4r', 'PGL', 'S7PI']",1.4526904124068094e-09,0.2839623473133234,4,10
"['FUM', 'NDPK2', 'DADK', 'FACOAE80']",8.046982920501336e-11,0.0435339748931341,4,10
"['FUM', 'NDPK2', 'KAT1', 'FACOAE140']",8.547090146748815e-09,0.0435339743633152,4,10
"['FUM', 'NDPK2', 'FACOAE80', 'FE3Ri']",2.0772027153892478e-10,0.0435339748844882,4,10
"['CTECOAI6', 'PTAr', 'PUNP1', 'NDPK2', 'CTECOAI7']",1.722014530969318e-09,0.2842787975054875,5,10
"['FRK', 'PAI2T', 'FUM', 'FACOAE140', 'ACGAMK']",2.0050228144441462e-10,0.0436356114040973,5,10
"['PAI2T', 'FUM', 'ADPT', 'PUNP1', 'S7PI']",6.227764970390125e-10,0.0436345903006105,5,10
"['HACD4', 'PYAM5PO', 'PAI2T', 'FUM', 'S7PI']",1.5718836540051274e-05,0.0433109947011542,5,10
"['HACD2', 'FUM', 'NDPK2', 'FACOAE180', 'S7PI']",1.2730901380840487e-10,0.0430315716011306,5,10
"['ACACT4r', 'PAI2T', 'LCARSyi', 'HPYRI', 'S7PI']",1.8931523726450905e-07,0.2839517904528464,5,10
"['DHNPA2r', 'ENO', 'DHNPA2']",2.24274589178987,0.0933978700355473,3,10
"['PGMT', 'ACOAD5f', 'GLUDy']",2.1588159260232945e-08,0.274883288056836,3,10
"['KDOPP', 'ENO', 'ACOAD5f']",2.540605237300042e-08,0.2809214486018631,3,10
"['ECOAH5', 'G6PDH2r', 'GMHEPPA']",3.0842840503808593e-09,0.2842726604072835,3,10
"['ECOAH5', 'PGMT', 'GMHEPPA']",4.588400770444423e-09,0.2842726602959048,3,10
"['DHNPA2r', 'DHNPA2', 'ACOAD5f']",2.2426537836416403,0.0941192606255481,3,10
"['ENO', 'PGMT', 'DHBD']",3.496438694128301e-08,0.2820918446250914,3,10
"['DHNPA2r', 'ACOAD3f', 'DHNPA2', 'GLUDy']",2.2431326857425864,0.0906542201288367,4,10
"['DHNPA2', 'DHNPA2r', 'GLUDy', 'ECOAH5', 'ENO']",2.24321953119569,0.0899731349256351,5,10
"['DHNPA2', 'DHNPA2r', 'NDPK4', 'ECOAH5', 'HACD3']",2.242821567304624,0.0937280872348944,5,10
['ACACT4r'],4.400574574181526e-08,0.2839623473133255,1,9
['ACACT8r'],-1.1636469565701189e-11,0.285471208321589,1,9
['TRSARr'],0.0,0.285471208320633,1,9
['NDPK6'],0.0,0.2854712083206393,1,9
['LSERDHr'],0.0,0.2854712083206238,1,9
['CTECOAI7'],-1.9202417433916708e-11,0.2852913437571148,1,9
['CYTK1'],-1.924438386424754e-11,0.2849363748590158,1,9
['NADPHXE'],-1.9339196910550527e-11,0.2854712083222277,1,9
['DHNPA2r'],0.0,0.2854712083206293,1,9
['PPKr'],0.0,0.2815917027916833,1,9
"['E4PD', 'GCALDD']",1.5354749101892644,0.1581793370475696,2,9
"['ECOAH1', 'NDPK2', 'IDOND']",-1.9571677611907035e-11,0.2826533935306914,3,9
"['ECOAH1', 'NDPK2', 'ECOAH2']",0.0,0.2826533935290701,3,9
"['NDPK2', 'ECOAH2', 'IDOND']",0.0,0.2826533935291022,3,9
"['ECOAH1', 'ECOAH2', 'IDOND']",0.0,0.2831222904169201,3,9
"['ECOAH1', 'ECOAH2', 'NDPK6']",0.0,0.2831222904169167,3,9
"['NDPK2', 'IDOND', 'NDPK6']",0.0,0.284994505322357,3,9
"['NDPK2', 'AI2K', 'PGI']",3.286838859734566e-09,0.2849838682569906,3,9
"['PGI', 'ECOAH2', 'NDPK6']",2.9730244932579812e-09,0.283122290152989,3,9
"['ECOAH1', 'IDOND', 'NDPK6']",0.0,0.2831222904169119,3,9
"['GLYK', 'THZPSN']",9.159287162640185e-05,0.2854636263829868,2,9
"['ECOAH4', 'ACACT2r']",0.0,0.2831222904169229,2,9
"['PERD', 'ACACT2r']",8.840629561746027e-09,0.2831221153492572,2,9
"['ALDD19xr', 'PERD']",0.0,0.2854710304406373,2,9
"['ALDD19xr', 'ECOAH4']",-1.9377388582597632e-11,0.2839623473149118,2,9
"['3AMACHYD', 'ACACT2r']",1.5715819756678682e-09,0.2831222904169271,2,9
"['ALDD19xr', 'DHBD']",0.0,0.2854712083206201,2,9
"['PERD', 'DHBD']",-1.1687539824833948e-11,0.2854710304416098,2,9
"['PPM', 'PGL', 'GMHEPK']",9.160343188341358e-05,0.2854636262296197,3,9
"['PERD', 'ECOAH4', 'GCALDD']",1.5355906180454388,0.1573431297840765,3,9
['THZPSN'],9.1592871477921e-05,0.285463626382996,1,9
['NDPK8'],0.0,0.2854712083206374,1,9
['FBA3'],-1.926980797151145e-11,0.2854712083222204,1,9
['HACD4'],-1.5467627179077679e-12,0.2839623473134443,1,9
['ACOAD1f'],0.0,0.2854712083206394,1,9
['NADPHXE'],0.0,0.2854712083206333,1,9
